%time,field.x,field.y,field.z
1701935895009573106,-0.889976498433499,-0.5569381454473348,-0.002435793591619922
1701935895011601034,-0.8899670246902552,-0.5569644944481565,-0.002462116723871307
1701935895013710270,-0.8899571366532323,-0.5569918854994412,-0.0024894995784968703
1701935895015843840,-0.8899471571868157,-0.5570196354812782,-0.002517257267336486
1701935895017652573,-0.8899387521977391,-0.5570432186196748,-0.002540847251848724
1701935895020107461,-0.8899274238623017,-0.5570752993827001,-0.002572919698538122
1701935895022184639,-0.8899178715995949,-0.5571024501640698,-0.0026000345324501788
1701935895024188138,-0.889908608733801,-0.5571285607379716,-0.0026260861972430428
1701935895026395999,-0.8898982618233373,-0.5571571874687136,-0.0026546458206512112
1701935895028843540,-0.8898866138316769,-0.5571887597059638,-0.0026861681163779776
1701935895031419668,-0.8898742305759716,-0.5572218990127136,-0.0027192855207129074
1701935895033914196,-0.8898622084459941,-0.5572539797442628,-0.002751365810007034
1701935895036294286,-0.8898507662106595,-0.5572846363471182,-0.0027820342185180475
1701935895038392998,-0.8898407292747282,-0.5573117261076882,-0.0028091341490695193
1701935895040689776,-0.8898298014585397,-0.5573414184360037,-0.00283882888064877
1701935895043652613,-0.889815748391851,-0.5573797531720321,-0.0028771555056638556
1701935895045947389,-0.8898048746826653,-0.5574094496934496,-0.0029068427898676355
1701935895048077905,-0.889794780765126,-0.5574370226140472,-0.0029344095943070092
1701935895049838308,-0.8897864467476961,-0.5574598192988323,-0.002957209907870439
1701935895051616869,-0.8897780596994425,-0.5574828972278707,-0.002980306531788608
1701935895053628140,-0.8897686703144736,-0.5575091058770918,-0.0030065484480865977
1701935895055807347,-0.8897586544695417,-0.5575376618275518,-0.003035134120458082
1701935895057669288,-0.8897502132710057,-0.5575621639207847,-0.0030596415920029255
1701935895059824796,-0.8897405042511939,-0.5575905625280394,-0.0030880252375253014
1701935895062973208,-0.8897263130083385,-0.5576320123152997,-0.003129427799517093
1701935895066024700,-0.8897124727765285,-0.5576720810788156,-0.0031694429015965554
1701935895068635667,-0.8897005459143089,-0.5577062918844109,-0.0032036290708020785
1701935895070572258,-0.889691683189305,-0.5577316704239719,-0.0032290046302721667
1701935895072787404,-0.889681580257695,-0.5577607328328302,-0.003258060474256351
1701935895074888284,-0.8896720239369121,-0.5577883155167166,-0.0032856217390219954
1701935895076753037,-0.889663528510641,-0.5578127749127569,-0.0033100520155293057
1701935895078984688,-0.8896533100975218,-0.5578419922017992,-0.00333924323691527
1701935895080796969,-0.8896449861095722,-0.5578657105939021,-0.003362961910213185
1701935895082482532,-0.889637274866981,-0.5578878210237838,-0.0033850859149432274
1701935895084723181,-0.889627130766987,-0.5579173198043564,-0.003414596779110961
1701935895086609278,-0.8896186763803585,-0.5579422252655087,-0.003439501388555568
1701935895088544197,-0.8896100539874755,-0.5579678180730411,-0.003465091089582964
1701935895090625190,-0.8896008279675939,-0.5579953987670516,-0.003492672417547261
1701935895094073073,-0.8895856840191395,-0.5580412406935634,-0.0035385246071081913
1701935895096874888,-0.8895735301253257,-0.5580786610018864,-0.00357596821451597
1701935895098860393,-0.8895650256163712,-0.5581053001909412,-0.003602637627873162
1701935895100847119,-0.8895566451527982,-0.5581320927011952,-0.0036294713770579114
1701935895102703782,-0.8895489586071567,-0.5581572933138652,-0.003654720638249905
1701935895104765018,-0.889540630171145,-0.5581854859046057,-0.0036829822291048506
1701935895107290181,-0.8895307856441189,-0.558220413492545,-0.0037180213942412665
1701935895109538867,-0.8895224217113982,-0.5582519417045837,-0.0037496756002214715
1701935895111317860,-0.8923611621235005,-0.5558650508564721,-0.0013637557587330078
1701935895113477835,-0.8924069106688142,-0.5558658127553386,-0.0013645129259770262
1701935895116037488,-0.8924374336853538,-0.5558670975865498,-0.0013657726491040042
1701935895117864912,-0.8924595738211769,-0.555868346796973,-0.0013669840712401825
1701935895119877189,-0.892484232467966,-0.5558699878864302,-0.001368578364241163
1701935895122256208,-0.8925137370230667,-0.5558722841640146,-0.0013708334424622477
1701935895125101880,-0.8925495738085641,-0.5558756042078082,-0.0013741280683228169
1701935895128293996,-0.8925905712406615,-0.5558801430696977,-0.0013786582067162748
1701935895129769927,-0.8926098273353703,-0.5558825425392856,-0.0013810545476955595
1701935895132599864,-0.8926472496002579,-0.5558876133651671,-0.0013860794999565721
1701935895134396033,-0.8926712953586181,-0.5558910954549764,-0.0013895123025969374
1701935895136484688,-0.8926994791506836,-0.5558953744889739,-0.0013937516252874736
