%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1702252244674352882,2555,27240005970,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33113357424736,-9.89535331726074,-0.445997714996338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244675794067,2556,27251545667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.281727731227875,-9.75397205352783,-0.416005909442902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244677385859,2557,27260132074,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.219070881605148,-9.72427177429199,-0.401463508605957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244679077725,2558,27268206357,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.189928740262985,-9.75287818908691,-0.442976087331772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244680951435,2559,27278235673,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.206253841519356,-9.75693511962891,-0.446478843688965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244683026604,2560,27288935184,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.188250005245209,-9.72115993499756,-0.451396644115448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244684905740,2561,27302145004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.157791450619698,-9.6597375869751,-0.448762565851212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244686773823,2562,27308656454,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.168797448277473,-9.6583776473999,-0.452911794185638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244688609759,2563,27318523406,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.191283568739891,-9.72382736206055,-0.47688701748848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244690365636,2564,27328282356,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.231698766350746,-9.7332820892334,-0.481421232223511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244692436291,2565,27338724374,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.239230692386627,-9.70731258392334,-0.483413636684418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244694062164,2566,27349271535,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.241951316595078,-9.72382831573487,-0.507380306720734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244695684034,2567,27359330415,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24555267393589,-9.75892448425293,-0.509349346160889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244697216699,2568,27369228601,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.269093543291092,-9.72823905944824,-0.50125926733017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244698685665,2569,27379296064,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.282987684011459,-9.72180557250977,-0.50580108165741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244700062782,2570,27388923883,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.306143283843994,-9.68371677398682,-0.495790600776672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252244701410694,2571,27401944398,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.321489632129669,-9.62871551513672,-0.483196556568146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
