%time,field.x,field.y,field.z
1701935962010033612,-0.8980620128967409,-0.5516849269894857,0.0006007322348536414
1701935962011963962,-0.8981018902519751,-0.5516425538678306,0.0006431459812258429
1701935962013506682,-0.898133691465908,-0.5516086163489209,0.0006771127946294396
1701935962015517622,-0.8981750619013414,-0.5515642995362944,0.0007214644599257811
1701935962017286713,-0.8982113857975649,-0.5515252508208288,0.0007605396299817228
1701935962019078725,-0.8982481272563279,-0.5514856490985731,0.0008001649006897277
1701935962021798098,-0.8983038046850258,-0.5514254741565334,0.0008603730334646772
1701935962025428076,-0.8983779910318391,-0.5513450274342154,0.000940854512014949
1701935962027481368,-0.8984198974313151,-0.5512994706939608,0.0009864289518831985
1701935962029367624,-0.8984583639169523,-0.5512575806037793,0.001028338801588747
1701935962031621979,-0.8985042774009696,-0.5512074646651802,0.001078477717271557
1701935962033721660,-0.8985469914576779,-0.5511607341441888,0.001125226134234418
1701935962035777805,-0.8985887778498535,-0.5511149358775533,0.001171041367377457
1701935962037473570,-0.8986232150589734,-0.5510771353565601,0.0012088526191686602
1701935962039313955,-0.8986605695651255,-0.5510361048043381,0.0012498881766504792
1701935962040986825,-0.8986945231944196,-0.550998814536375,0.0012871831418383819
1701935962042730071,-0.898729909701988,-0.5509599474826792,0.0013260583679048162
1701935962044487480,-0.8987655729342461,-0.5509207578776483,0.0013652538915542474
1701935962046296506,-0.8988022834616208,-0.550880416523454,0.0014055963891042337
1701935962048414637,-0.8988452791411952,-0.5508332033376506,0.0014528098122093237
1701935962050172477,-0.8988809775236225,-0.5507940334505941,0.0014919826765233306
1701935962052687344,-0.8989320574206144,-0.5507379997757976,0.0015480239998930088
1701935962056470960,-0.8990089017298096,-0.5506536938630922,0.001632340605895857
1701935962058498326,-0.8990500793151842,-0.5506085121844311,0.0016775294904490718
1701935962060267604,-0.8990860077400463,-0.550569076019602,0.0017169764658698488
1701935962061932590,-0.8991198002149912,-0.5505319480476977,0.0017541179196689692
1701935962063948868,-0.8991606923892465,-0.5504869466882156,0.0017991381152732712
1701935962065831630,-0.8991988373157656,-0.550444884600673,0.001841218762692276
1701935962068250328,-0.8992477822466632,-0.5503907927689967,0.0018953308782471917
1701935962070247841,-0.8992881600034349,-0.550346083670612,0.0019400550069015661
1701935962072075973,-0.899325086419193,-0.5503051319904882,0.001981024413046235
1701935962073669499,-0.8993572385167531,-0.5502694070907387,0.0020167670200038944
1701935962075666490,-0.8993974868853164,-0.5502245829519697,0.002061613807204197
1701935962077456040,-0.8994335077586577,-0.5501843676364727,0.002101849294157366
1701935962079221254,-0.8994689970168924,-0.5501446592278123,0.002141574878905778
1701935962081012281,-0.8995049690634851,-0.5501043383996141,0.002181913082251063
1701935962083317411,-0.8995512184747868,-0.5500523860465739,0.002233888885840009
1701935962085477925,-0.8995945041974478,-0.5500036480987417,0.002282643090086164
1701935962087583972,-0.8996366695243486,-0.5499561033304806,0.002330195840254574
1701935962090456411,-0.8996941566739544,-0.5498912473591878,0.002395061757477564
1701935962092789375,-0.8997408348531862,-0.5498385597473657,0.0024477596681386814
